MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ACRELANDIA,6106,3182,2020,1
ASSIS BRASIL,1750,1105,2020,1
BRASILEIA,9669,4416,2020,1
BUJARI,2114,932,2020,1
CAPIXABA,2166,1044,2020,1
CRUZEIRO DO SUL,33271,15476,2020,1
EPITACIOLANDIA,6433,2420,2020,1
FEIJO,3815,2060,2020,1
JORDAO,123,65,2020,1
MANCIO LIMA,3691,2090,2020,1
MANOEL URBANO,1135,563,2020,1
MARECHAL THAUMATURGO,355,256,2020,1
PLACIDO DE CASTRO,4740,2210,2020,1
PORTO ACRE,3689,2035,2020,1
PORTO WALTER,309,215,2020,1
RIO BRANCO,188302,72565,2020,1
RODRIGUES ALVES,1553,963,2020,1
SANTA ROSA DO PURUS,184,117,2020,1
SENA MADUREIRA,8554,4380,2020,1
SENADOR GUIOMARD,6890,2828,2020,1
TARAUACA,4929,2404,2020,1
XAPURI,4244,2549,2020,1
AGUA BRANCA,4395,2323,2020,1
ANADIA,2882,1163,2020,1
ARAPIRACA,112203,44312,2020,1
ATALAIA,6835,1598,2020,1
BARRA DE SANTO ANTONIO,2228,783,2020,1
BARRA DE SAO MIGUEL,1926,576,2020,1
BATALHA,3856,1830,2020,1
BELEM,1181,652,2020,1
BELO MONTE,787,450,2020,1
BOCA DA MATA,5709,2230,2020,1
BRANQUINHA,1468,794,2020,1
CACIMBINHAS,2137,1120,2020,1
CAJUEIRO,3012,1312,2020,1
CAMPESTRE,650,149,2020,1
CAMPO ALEGRE,5143,1674,2020,1
CAMPO GRANDE,2488,1583,2020,1
CANAPI,2685,1436,2020,1
CAPELA,2098,805,2020,1
CARNEIROS,1230,680,2020,1
CHA PRETA,1286,764,2020,1
COITE DO NOIA,2768,1664,2020,1
COLONIA LEOPOLDINA,1742,558,2020,1
COQUEIRO SECO,1085,455,2020,1
CORURIPE,13622,5370,2020,1
CRAIBAS,5865,2775,2020,1
DELMIRO GOUVEIA,21073,7956,2020,1
DOIS RIACHOS,2740,1600,2020,1
ESTRELA DE ALAGOAS,3470,1835,2020,1
FEIRA GRANDE,4903,2705,2020,1
FELIZ DESERTO,637,263,2020,1
FLEXEIRAS,1496,535,2020,1
GIRAU DO PONCIANO,8815,4614,2020,1
IBATEGUARA,2227,1034,2020,1
IGACI,5576,2741,2020,1
IGREJA NOVA,4560,2859,2020,1
INHAPI,4251,2470,2020,1
JACARE DOS HOMENS,964,476,2020,1
JACUIPE,613,259,2020,1
